,Train MAE,Test MAE,Train RMSE,Test RMSE,Train R2,Test R2
Linear Regression (Baseline),0.9980133075452017,1.008126524058134,1.117672381260193,1.1240129205557203,0.005012777043589822,0.007327935694091736
Decision Tree (Main),0.9634919709078865,0.9739630884053381,1.0940915395449073,1.1032021635055427,0.04655469444399252,0.04374569587320898
